x,y,z,yaw
98.6758397108,-22.3085739912,0,86.962942223
98.7289682163,-21.3072141636,0,86.2588404711
98.7943932862,-20.3066549879,0,85.5467658878
98.8722568453,-19.3068723205,0,84.8270139924
98.9627008184,-18.3078420179,0,84.0998962236
99.0658671304,-17.3095399366,0,83.3657395818
99.1818977062,-16.3119419331,0,82.6248861847
99.3109344706,-15.3150238637,0,81.8776927321
99.4531193484,-14.318761585,0,81.1245298822
99.6085942645,-13.3231309534,0,80.3657815398
99.7775011437,-12.3281078255,0,79.6018440586
99.9599819108,-11.3336680576,0,78.8331253608
100.156178491,-10.3397875062,0,78.0600439776
100.366232808,-9.34644202773,0,77.2830280158
100.590286789,-8.35360747875,0,76.5025140564
100.828482356,-7.36125971568,0,75.7189459923
101.080961436,-6.36937459498,0,74.9327738122
101.347865953,-5.37792797311,0,74.1444523382
101.629337831,-4.38689570654,0,73.3544399284
101.925518997,-3.39625365173,0,72.5631971511
102.236551374,-2.40597766513,0,71.7711854423
102.562576887,-1.41604360323,0,70.978865755
102.903737462,-0.426427322469,0,70.1866972123
103.260175022,0.562895320679,0,69.3951357722
103.632031494,1.55194846975,0,68.6046329156
104.019448802,2.54075626829,0,67.8156343664
104.42256887,3.52934285983,0,67.0285788527
104.841533624,4.5177323879,0,66.2438969181
105.276484988,5.50594899604,0,65.4623949872
105.72755722,6.49401761627,0,64.6932355808
106.194708232,7.48198131543,0,63.9451820407
106.67771959,8.46990129521,0,63.2183888837
107.176365193,9.45783954578,0,62.5126004586
107.690418941,10.4458580573,0,61.8275394803
108.219654731,11.4340188199,0,61.1629101526
108.763846465,12.4223838238,0,60.5184010771
109.322768039,13.4110150591,0,59.8936879461
109.896193354,14.3999745161,0,59.2884360232
110.483896308,15.3893241847,0,58.7023024172
111.085650801,16.3791260554,0,58.1349381549
111.701230732,17.369442118,0,57.5859900628
112.330409999,18.360334363,0,57.0551024657
112.972962501,19.3518647803,0,56.5419187131
113.628662139,20.3440953602,0,56.0460825431
114.297282809,21.3370880929,0,55.5672392957
114.978598413,22.3309049684,0,55.1050369848
115.672382848,23.325607977,0,54.6591272404
116.378410015,24.3212591088,0,54.2291661313
117.096453811,25.317920354,0,53.814814877
117.826288136,26.3156537028,0,53.4157404606
118.567686888,27.3145211452,0,53.0316161492
119.320423968,28.3145846716,0,52.6621219322
120.084273274,29.3159062719,0,52.3069448843
120.859008705,30.3185479365,0,51.9657794617
121.64440416,31.3225716554,0,51.6383277377
122.440233538,32.3280394188,0,51.3242995839
